iter	Passed	Remaining
0	101	20195
1	108	10775
2	118	7748
3	126	6198
4	134	5250
5	142	4593
6	150	4153
7	159	3823
8	166	3541
9	174	3307
10	181	3125
11	188	2948
12	194	2797
13	201	2674
14	208	2567
15	215	2477
16	222	2395
17	229	2315
18	235	2238
19	242	2181
20	249	2124
21	255	2070
22	262	2018
23	269	1975
24	276	1938
25	283	1896
26	290	1858
27	296	1824
28	302	1782
29	308	1750
30	314	1715
31	320	1683
32	327	1658
33	333	1629
34	339	1602
35	346	1576
36	351	1549
37	357	1523
38	362	1497
39	368	1473
40	374	1452
41	380	1431
42	385	1409
43	391	1389
44	397	1369
45	403	1351
46	409	1333
47	415	1314
48	421	1298
49	426	1279
50	432	1264
51	439	1251
52	444	1234
53	450	1218
54	456	1203
55	462	1189
56	469	1177
57	476	1166
58	483	1154
59	489	1142
60	496	1130
61	502	1119
62	509	1107
63	514	1093
64	522	1084
65	527	1071
66	534	1061
67	540	1049
68	546	1037
69	552	1026
70	559	1015
71	564	1004
72	571	994
73	577	983
74	583	972
75	590	962
76	596	952
77	602	942
78	617	945
79	623	934
80	630	926
81	637	917
82	642	905
83	648	895
84	654	885
85	660	875
86	666	866
87	672	856
88	678	846
89	684	836
90	690	826
91	696	817
92	702	808
93	708	799
94	715	790
95	721	782
96	727	772
97	734	764
98	740	755
99	746	746
100	752	737
101	758	728
102	764	719
103	770	710
104	776	702
105	782	693
106	788	684
107	794	676
108	800	668
109	805	659
110	812	651
111	819	643
112	825	635
113	830	626
114	836	617
115	841	609
116	847	601
117	853	593
118	859	585
119	865	577
120	871	569
121	877	560
122	883	552
123	889	545
124	895	537
125	900	529
126	906	521
127	913	513
128	918	505
129	925	498
130	931	490
131	937	483
132	943	475
133	948	467
134	954	459
135	960	452
136	966	444
137	972	436
138	977	428
139	983	421
140	990	414
141	996	407
142	1002	399
143	1008	392
144	1014	384
145	1020	377
146	1026	370
147	1032	362
148	1038	355
149	1043	347
150	1049	340
151	1055	333
152	1061	326
153	1067	318
154	1073	311
155	1078	304
156	1085	297
157	1090	290
158	1096	282
159	1102	275
160	1108	268
161	1113	261
162	1120	254
163	1127	247
164	1133	240
165	1139	233
166	1145	226
167	1151	219
168	1157	212
169	1162	205
170	1168	198
171	1173	191
172	1179	184
173	1185	177
174	1191	170
175	1198	163
176	1203	156
177	1209	149
178	1215	142
179	1221	135
180	1226	128
181	1232	121
182	1238	115
183	1244	108
184	1250	101
185	1256	94
186	1262	87
187	1268	80
188	1273	74
189	1280	67
190	1286	60
191	1292	53
192	1298	47
193	1303	40
194	1309	33
195	1315	26
196	1321	20
197	1327	13
198	1334	6
199	1339	0
